modal_id,plot_title,plot_caption,plot_function,plot_arguments,filter,col_t,col_y,col_se,y_label,group_by,direct_path,skip_lines,csv_url
forage-fish,YOY Pacific Sardine (<i>Sardinops sagax</i>) Abundance off Central California ,,,,"species_group == ""YOY sardine""",time (UTC),mean_cpue (ln(catch+1)),NA,Average Abundance catch per unit effort (ln(catch+1)),NA,,,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_EI_FBC.csvp?time%2Cspecies_group%2Cmean_cpue%2CSeup%2CSelo&distinct()
forage-fish,YOY Rockfish Juveniles (<i>YOY rockfish spp.</i>) Abundance off Central California ,,,,"species_group == ""YOY rockfish""",time (UTC),mean_cpue (ln(catch+1)),NA,Average Abundance catch per unit effort (ln(catch+1)),NA,,,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_EI_FBC.csvp?time%2Cspecies_group%2Cmean_cpue%2CSeup%2CSelo&distinct()
forage-fish,YOY Pacific Hake  (<i>Merluccius productus</i>) Abundance off Central California ,,,,"species_group == ""YOY Pacific hake""",time (UTC),mean_cpue (ln(catch+1)),NA,Average Abundance catch per unit effort (ln(catch+1)),NA,,,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_EI_FBC.csvp?time%2Cspecies_group%2Cmean_cpue%2CSeup%2CSelo&distinct()
forage-fish,YOY Sanddab (<i>Citharichthys spp.</i>) Abundance off Central California ,,,,"species_group == ""YOY sanddabs""",time (UTC),mean_cpue (ln(catch+1)),NA,Average Abundance catch per unit effort (ln(catch+1)),NA,,,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_EI_FBC.csvp?time%2Cspecies_group%2Cmean_cpue%2CSeup%2CSelo&distinct()
humboldt_squid,Humboldt Squid (<i>Dosidicus gigas</i>) Video Transect Sightings in Monterey Bay,,,,,year,count,NA,Squid Sightings (number of species),NA,info-mb/master/prep/data/dosidicus/MBARI_ROV_dosid.csv,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/dosidicus/MBARI_ROV_dosid.csv
biodiversity,Richness of All Forage Taxa,,,,NA,year,ALLRich,NA,Average Species Richness (number of species),NA,info-mb/master/prep/data/fish/Fish_diversity_richness.csv,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/fish/Fish_diversity_richness.csv
biodiversity,Richness of Juvenile Rockfish and Groundfish (53 taxa),,,,NA,year,YOYRich,NA,Average Species Richness (number of species),NA,info-mb/master/prep/data/fish/Fish_diversity_richness.csv,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/fish/Fish_diversity_richness.csv
biodiversity,Richness of Other Forage (49 Taxa),,,,NA,year,FORRich,NA,Average Species Richness (number of species),NA,info-mb/master/prep/data/fish/Fish_diversity_richness.csv,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/fish/Fish_diversity_richness.csv
biodiversity,Diversity of all Forage (111 taxa),,,,NA,year,ALLDiv,NA,Diversity (Shannon-Weaver),NA,info-mb/master/prep/data/fish/Fish_diversity_richness.csv,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/fish/Fish_diversity_richness.csv
eDNA,Vertebrate 12S Observed Richness,prep/plot_caption/eDNA_12S.md,,,d_year > 2006,d_year,x,NA,Observed Richness (number of unique genetic sequences),NA,info-mb/master/prep/data/eDNA/eDNA_richness_12S.csv,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/eDNA/eDNA_richness_12S.csv
eDNA,Phytoplankton 18S Observed Richness,prep/plot_caption/eDNA_18S.md,,,b_year > 2006,b_year,x,NA,Observed Richness (number of unique genetic sequences),NA,info-mb/master/prep/data/eDNA/eDNA_richness_18S.csv,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/eDNA/eDNA_richness_18S.csv
eDNA,Vertebrate and Invertebrate COI Observed Richness,prep/plot_caption/eDNA_COI.md,,,c_year > 2006,c_year,x,NA,Observed Richness (number of unique genetic sequences),NA,info-mb/master/prep/data/eDNA/eDNA_richness_COI.csv,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/eDNA/eDNA_richness_COI.csv
SST,Mean Sea Surface Temperature from Satellite,prep/plot_caption/SST.md,,,NA,Date,Mean SST,NA,Deg C,NA,NA,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/MBNMS_GHRSST.csv
SST,Sea Surface Temperature Anomaly from Satellite,NA,,,NA,Date,Anomaly,NA,Deg C,NA,NA,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/MBNMS_GHRSST.csv
SST,Mean CHL,NA,,,NA,Date,Mean SST,NA,_,NA,NA,NA,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/MBNMS_MOD_CHL.csv
SST,CHL Anomaly,NA,,,NA,Date,Anomaly,NA,_,NA,NA,NA,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/MBNMS_MOD_CHL.csv
