date,average_SST,standard_deviation_SST
2018-1-16,15.25007,0.56818
2018-2-16,14.74574,0.51643
2018-3-16,14.74574,0.51643
2018-4-16,13.22268,0.68791
2018-5-16,14.40473,1.08326
2018-6-16,16.26998,1.30167
2018-7-16,19.58549,1.04879
2018-8-16,20.54083,1.28091
2018-9-16,19.24691,1.17703
2018-10-16,18.87662,0.75339
2018-11-16,18.12866,0.55804
2018-12-16,16.07244,0.46951
2019-1-16,15.041,0.36472
2019-2-16,14.28656,0.29274
2019-3-16,14.28656,0.29274
2019-4-16,14.03327,0.6004
2019-5-16,14.63599,0.55444
2019-6-16,16.36125,0.66213
2019-7-16,17.65067,1.37677
2019-8-16,18.322,1.36059
2019-9-16,19.52896,1.14509
2019-10-16,17.61086,0.99433
2019-11-16,17.01542,0.57499
2019-12-16,15.22124,0.4501
2020-1-16,14.88662,0.59304
2020-2-16,14.85201,0.46892
2020-3-16,14.85201,0.46892
2020-4-16,14.69468,0.84388
2020-5-16,15.30353,1.3597
2020-6-16,16.52025,1.22714
2020-7-16,17.9559,1.35336
2020-8-16,18.88625,1.08839
2020-8-16,18.88625,1.08839
