time,latitude,longitude,sst,nobs,mask
UTC,degrees_north,degrees_east,degree_C,,
2003-02-16T00:00:00Z,33.36,-119.81,14.430237,28,1
2003-02-16T00:00:00Z,33.36,-119.8,14.426422,28,1
2003-02-16T00:00:00Z,33.36,-119.79,14.420074,28,1
2003-02-16T00:00:00Z,33.36,-119.78,14.413696,28,1
2003-02-16T00:00:00Z,33.36,-119.77,14.408264,28,1
2003-02-16T00:00:00Z,33.36,-119.76,14.404053,28,1
2003-02-16T00:00:00Z,33.36,-119.75,14.401581,28,1
2003-02-16T00:00:00Z,33.36,-119.74,14.40155,28,1
2003-02-16T00:00:00Z,33.36,-119.73,14.402557,28,1
2003-02-16T00:00:00Z,33.36,-119.72,14.400452,28,1
2003-02-16T00:00:00Z,33.36,-119.71,14.393555,28,1
2003-02-16T00:00:00Z,33.36,-119.7,14.383087,28,1
2003-02-16T00:00:00Z,33.36,-119.69,14.370422,28,1
2003-02-16T00:00:00Z,33.36,-119.68,14.355835,28,1
2003-02-16T00:00:00Z,33.36,-119.67,14.34021,28,1
2003-02-16T00:00:00Z,33.36,-119.66,14.326355,28,1
2003-02-16T00:00:00Z,33.36,-119.65,14.31665,28,1
2003-02-16T00:00:00Z,33.36,-119.64,14.310486,28,1
2003-02-16T00:00:00Z,33.36,-119.63,14.30658,28,1
2003-02-16T00:00:00Z,33.36,-119.62,14.304413,28,1
2003-02-16T00:00:00Z,33.36,-119.61,14.304596,28,1
2003-02-16T00:00:00Z,33.36,-119.6,14.306488,28,1
2003-02-16T00:00:00Z,33.36,-119.59,14.308899,28,1
2003-02-16T00:00:00Z,33.36,-119.58,14.312378,28,1
2003-02-16T00:00:00Z,33.36,-119.57,14.318359,28,1
2003-02-16T00:00:00Z,33.36,-119.56,14.32666,28,1
2003-02-16T00:00:00Z,33.36,-119.55,14.334747,28,1
2003-02-16T00:00:00Z,33.36,-119.54,14.341431,28,1
2003-02-16T00:00:00Z,33.36,-119.53,14.347504,28,1
2003-02-16T00:00:00Z,33.36,-119.52,14.354095,28,1
2003-02-16T00:00:00Z,33.36,-119.51,14.361786,28,1
2003-02-16T00:00:00Z,33.36,-119.5,14.371246,28,1
2003-02-16T00:00:00Z,33.36,-119.49,14.379669,28,1
2003-02-16T00:00:00Z,33.36,-119.48,14.3845215,28,1
2003-02-16T00:00:00Z,33.36,-119.47,14.386017,28,1
2003-02-16T00:00:00Z,33.36,-119.46,14.386017,28,1
2003-02-16T00:00:00Z,33.36,-119.45,14.385529,28,1
2003-02-16T00:00:00Z,33.36,-119.44,14.385468,28,1
2003-02-16T00:00:00Z,33.36,-119.43,14.38681,28,1
2003-02-16T00:00:00Z,33.36,-119.42,14.390747,28,1
2003-02-16T00:00:00Z,33.36,-119.41,14.397461,28,1
2003-02-16T00:00:00Z,33.36,-119.4,14.406311,28,1
2003-02-16T00:00:00Z,33.36,-119.39,14.416534,28,1
2003-02-16T00:00:00Z,33.36,-119.38,14.427063,28,1
2003-02-16T00:00:00Z,33.36,-119.37,14.437225,28,1
2003-02-16T00:00:00Z,33.36,-119.36,14.445923,28,1
2003-02-16T00:00:00Z,33.36,-119.35,14.453186,28,1
2003-02-16T00:00:00Z,33.36,-119.34,14.460571,28,1
2003-02-16T00:00:00Z,33.36,-119.33,14.469727,28,1
2003-02-16T00:00:00Z,33.36,-119.32,14.480896,28,1
2003-02-16T00:00:00Z,33.36,-119.31,14.493378,28,1
2003-02-16T00:00:00Z,33.36,-119.3,14.50592,28,1
2003-02-16T00:00:00Z,33.36,-119.29,14.516449,28,1
2003-02-16T00:00:00Z,33.36,-119.28,14.525391,28,1
2003-02-16T00:00:00Z,33.36,-119.27,14.533508,28,1
2003-02-16T00:00:00Z,33.36,-119.26,14.54187,28,1
2003-02-16T00:00:00Z,33.36,-119.25,14.551544,28,1
2003-02-16T00:00:00Z,33.36,-119.24,14.5625,28,1
2003-02-16T00:00:00Z,33.36,-119.23,14.573669,28,1
2003-02-16T00:00:00Z,33.36,-119.22,14.5849,28,1
2003-02-16T00:00:00Z,33.36,-119.21,14.598785,28,1
2003-02-16T00:00:00Z,33.36,-119.2,14.616058,28,1
2003-02-16T00:00:00Z,33.36,-119.19,14.635498,28,1
2003-02-16T00:00:00Z,33.36,-119.18,14.655701,28,1
2003-02-16T00:00:00Z,33.36,-119.17,14.679718,28,1
2003-02-16T00:00:00Z,33.36,-119.16,14.710999,28,1
2003-02-16T00:00:00Z,33.36,-119.15,14.7473755,28,1
2003-02-16T00:00:00Z,33.36,-119.14,14.785828,28,1
2003-02-16T00:00:00Z,33.36,-119.13,14.823181,28,1
2003-02-16T00:00:00Z,33.36,-119.12,14.85614,28,1
2003-02-16T00:00:00Z,33.36,-119.11,14.884766,28,1
2003-02-16T00:00:00Z,33.36,-119.1,14.911377,28,1
2003-02-16T00:00:00Z,33.36,-119.09,14.9366455,28,1
2003-02-16T00:00:00Z,33.36,-119.08,14.961243,28,1
2003-02-16T00:00:00Z,33.36,-119.07,14.983612,28,1
2003-02-16T00:00:00Z,33.36,-119.06,15.001312,28,1
2003-02-16T00:00:00Z,33.36,-119.05,15.012939,28,1
2003-02-16T00:00:00Z,33.36,-119.04,15.021973,28,1
2003-02-16T00:00:00Z,33.36,-119.03,15.031036,28,1
2003-02-16T00:00:00Z,33.36,-119.02,15.041748,28,1
2003-02-16T00:00:00Z,33.36,-119.01,15.054749,28,1
2003-02-16T00:00:00Z,33.36,-119.0,15.068817,28,1
2003-02-16T00:00:00Z,33.36,-118.99,15.082733,28,1
2003-02-16T00:00:00Z,33.36,-118.98,15.095032,28,1
